osm_id,osm_type,osm_class,osm_class_type,display_name
225494,R,boundary,administrative,"Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland"
2436133,R,highway,pedestrian,"Festplatz, Südweststadt Östlicher Teil, Südweststadt, Karlsruhe, Baden-Württemberg, 76137, Deutschland"
2564500,R,boundary,administrative,"Edmonton, Alberta, Canada"
3276843,R,boundary,administrative,"城厢区, 莆田市, 福建省, 中国"
3579143,R,boundary,administrative,"Ga-Segonyana Ward 1, Kuruman, Ga-Segonyana Local Municipality, John Taolo Gaetsewe District Municipality, Northern Cape, 8461, South Africa"
396710,R,boundary,administrative,"Steinbachtal, Würzburg, Bayern, Deutschland"
4125425,R,highway,pedestrian,"Bassinplatz, Viertel der Seidenweber, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
4246124,R,boundary,administrative,"Melbourne, City of Melbourne, Victoria, Australia"
4479752,R,boundary,administrative,"دبي, الإمارات العربية المتحدة"
4751452,R,highway,pedestrian,"Lutherischer Kirchhof, Oberstadt, Altstadt, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
5703696,R,boundary,administrative,"Yetminster, Dorset, England, United Kingdom"
62484,R,boundary,administrative,"Landshut, Bayern, Deutschland"
62782,R,boundary,administrative,"Hamburg, Deutschland"
7225990,R,boundary,administrative,"Jawa, Indonesia"
7485368,R,boundary,administrative,"London, Southwestern Ontario, Ontario, Canada"
8123508,R,highway,pedestrian,"Hugenottenplatz, Innenstadt, Erlangen, Bayern, 91054, Deutschland"
8124756,R,highway,pedestrian,"Schloßplatz, Innenstadt, Erlangen, Bayern, 91054, Deutschland"
101151335,W,highway,secondary,"Biegenstraße, Biegenviertel, Campusviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
10636465,W,highway,trunk,"East High Street, Crieff, Perth and Kinross, Alba / Scotland, PH7 3JD, United Kingdom"
107451315,W,highway,residential,"Schlettstadtallee, Waldkirch (Kernstadt), Waldkirch, VVG der Stadt Waldkirch, Landkreis Emmendingen, Baden-Württemberg, 79183, Deutschland"
1076229972,W,highway,tertiary,"Würzburger Straße, Gemarkung Zellingen, Retzbach, Zellingen, Verwaltungsgemeinschaft Zellingen, Landkreis Main-Spessart, Bayern, 97225, Deutschland"
12654644,W,highway,residential,"Eichstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
12711018,W,highway,residential,"Marcusstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
13012716,W,highway,unclassified,"Haslachweg, Gerbrunn, Landkreis Würzburg, Bayern, 97218, Deutschland"
13540659,W,highway,residential,"Am Gemeindegarten, Riegel, Verwaltungsverband Nördlicher Kaiserstuhl, Landkreis Emmendingen, Baden-Württemberg, 79359, Deutschland"
135631133,W,highway,secondary,"Hauptstraße, Kollmarsreute, Emmendingen, VVG der Stadt Emmendingen, Landkreis Emmendingen, Baden-Württemberg, 79312, Deutschland"
165240097,W,highway,pedestrian,"Karolinenstraße, Neustadt, Hof, Bayern, 95028, Deutschland"
225735456,W,highway,pedestrian,"Elisabeth-Blochmann-Platz, Weidenhausen, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
23415112,W,highway,residential,"Bahnhofstraße, Nordpark, Velbert-Mitte, Velbert, Kreis Mettmann, Nordrhein-Westfalen, 42551, Deutschland"
26336913,W,highway,primary,"High Street, Rattray, Blairgowrie and Rattray, Perth and Kinross, Alba / Scotland, PH10 7DQ, United Kingdom"
28010754,W,highway,residential,"Kitzinger Straße, Sulzfeld, Sulzfeld am Main, Kitzingen (VGem), Landkreis Kitzingen, Bayern, 97320, Deutschland"
29261270,W,highway,unclassified,"An der Tränk, Sommerhausen, Verwaltungsgemeinschaft Eibelstadt, Landkreis Würzburg, Bayern, 97286, Deutschland"
30191723,W,highway,residential,"Am Schloßgarten, Lengfeld, Würzburg, Bayern, 97076, Deutschland"
30756317,W,leisure,park,"Erwin-Wolf-Platz, Versbach, Würzburg, Bayern, 97078, Deutschland"
31099735,W,highway,footway,"Abendroth-Brücke, Biegenviertel, Campusviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
31549788,W,highway,service,"Software-Center, Südviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
32523967,W,highway,tertiary,"Galileistraße, Synergiepark, Dürrlewang, Vaihingen, Stuttgart, Baden-Württemberg, 70565, Deutschland"
333209786,W,highway,pedestrian,"Eichhornstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
34503520,W,highway,residential,"Hildastraße, Kollnau, Waldkirch, VVG der Stadt Waldkirch, Landkreis Emmendingen, Baden-Württemberg, 79183, Deutschland"
374817372,W,highway,residential,"Friedrichstraße, Innenstadt, Erlangen, Bayern, 91054, Deutschland"
401910579,W,highway,pedestrian,"Marktplatz, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
42271091,W,highway,footway,"Jügelstraße, Bockenheim, Westend Süd, Innenstadt 2, Frankfurt am Main, Hessen, 60325, Deutschland"
427694741,W,highway,residential,"Elisabeth-Scheuring-Straße, Hubland, Frauenland, Würzburg, Bayern, 97074, Deutschland"
43317735,W,highway,residential,"Annastraße, Würzburg Altstadt, Würzburg, Bayern, 97072, Deutschland"
4488603,W,highway,track,"Milly-Marbe-Fries-Weg, Sanderau, Würzburg, Bayern, 97074, Deutschland"
45591848,W,highway,tertiary,"Dorfstraße, Hemmersheim, Uffenheim (VGem), Landkreis Neustadt an der Aisch-Bad Windsheim, Bayern, 97258, Deutschland"
50826939,W,highway,tertiary,"Am Hubland, Hubland, Frauenland, Würzburg, Bayern, 97074, Deutschland"
527933073,W,highway,unclassified,"Anna-Ebermann-Straße, Rottenbauer, Würzburg, Bayern, 97084, Deutschland"
598621247,W,natural,water,"City of Fairfax Retention Pond, Cairo Township, Renville County, Minnesota, United States"
60457998,W,highway,residential,"Birkenfelder Straße, Remlingen, Verwaltungsgemeinschaft Helmstadt, Landkreis Würzburg, Bayern, 97280, Deutschland"
65714214,W,highway,residential,"Semmelstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
68256432,W,highway,residential,"Domerschulstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
687327847,W,highway,residential,"St.-Rochus-Straße, Versbach, Würzburg, Bayern, 97078, Deutschland"
794181493,W,highway,unclassified,"Alte Landstraße, Roßsteige, Gerbrunn, Landkreis Würzburg, Bayern, 97218, Deutschland"
794531687,W,highway,tertiary,"Rennweg, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
79683431,W,highway,residential,"Tattersallstraße, Oststadt, Schwetzingerstadt/Oststadt, Mannheim, Baden-Württemberg, 68165, Deutschland"
823406229,W,highway,tertiary,"Bahnhofstraße, Gambacher Markung, Gambach, Karlstadt, Landkreis Main-Spessart, Bayern, 97753, Deutschland"
891693135,W,highway,service,"Kloster Oberzell, Zell am Main, Landkreis Würzburg, Bayern, 97299, Deutschland"
9064868,W,highway,residential,"Gutenbergstraße, Südviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
93265337,W,highway,pedestrian,"Magnus-Zeller-Platz, Schlaatz, Potsdam, Brandenburg, 14478, Deutschland"
98455854,W,highway,platform,"Alter Markt/Landtag, Breite Straße, Nikolaigärten, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
10021975,N,place,town,"Loughborough, Charnwood, Leicestershire, England, LE11 5BJ, United Kingdom"
10021976,N,place,city,"Leicester, City of Leicester, England, LE1 5YA, United Kingdom"
1002261921,N,place,town,"Bad Hersfeld, Landkreis Hersfeld-Rotenburg, Hessen, 36251, Deutschland"
10056240500,N,place,house,"4a, Schulstraße, Schwabendorf, Schöne Aussicht, Schwabendorf, Rauschenberg, Landkreis Marburg-Biedenkopf, Hessen, 35282, Deutschland"
1024114767,N,amenity,cinema,"Central im Bürgerbräu, 87, Frankfurter Straße, Zellerau, Würzburg, Bayern, 97082, Deutschland"
10244451674,N,amenity,cafe,"Kulturcafé Windrose, 6, Strackgasse, Altstadt, Oberursel-Mitte, Oberursel (Taunus), Hochtaunuskreis, Hessen, 61440, Deutschland"
10280099071,N,amenity,theatre,"KFZ, Biegenstraße, Biegenviertel, Campusviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
103035982,N,place,village,"Heinsberg, Kirchhundem, Kreis Olpe, Nordrhein-Westfalen, Deutschland"
1037917163,N,place,city,"Dunedin, Dunedin City, Otago, 9054, New Zealand / Aotearoa"
1046100133,N,place,city,"Abidjan, Côte d’Ivoire"
1051669585,N,place,city,"Bhubaneswar, Bhubaneswar Municipal Corporation, Bhubaneswar (M.Corp.), Khordha, Odisha, 751001, India"
10584825802,N,amenity,community_centre,"Evangelische Studierendengemeinde Würzburg, 27b, Friedrich-Ebert-Ring, Würzburg Altstadt, Würzburg, Bayern, 97072, Deutschland"
10722994455,N,tourism,information,"Ferme Rose - Hof ten Hove - Ferme Rose - Ferme Rose, Avenue De Fré - De Frélaan, Globe, Uccle - Ukkel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1180, België / Belgique / Belgien"
107775,N,place,city,"London, Greater London, England, WC2N 5DX, United Kingdom"
10973286195,N,place,house,"99, Rottendorfer Straße, Hubland, Frauenland, Würzburg, Bayern, 97074, Deutschland"
11023388994,N,place,house,"76, Rue du Progrès - Vooruitgangstraat, Quartier Nord - Noordwijk, Schaerbeek - Schaarbeek, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1030, België / Belgique / Belgien"
11068300282,N,tourism,attraction,"M25, 25, Münsterplatz, Innenstadt, Mitte, Ulm, Baden-Württemberg, 89073, Deutschland"
11127374,N,place,city,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom"
1125912204,N,place,village,"Ketteldorf, Heilsbronn, Landkreis Ansbach, Bayern, 91560, Deutschland"
1129364490,N,place,city,"حیدرآباد, تعلقہ حیدرآباد شہر, ضلع حیدرآباد, حیدر آباد ڈویژن, سندھ, پاکستان"
115630073,N,place,village,"Astheim, Volkach, Volkach (VGem), Landkreis Kitzingen, Bayern, 97332, Deutschland"
11739424886,N,place,house,"9, Am See, Münsterschwarzach, Schwarzach am Main, Landkreis Kitzingen, Bayern, 97359, Deutschland"
1193295282,N,place,village,"Lappersdorf, Eichendorf, Landkreis Dingolfing-Landau, Bayern, Deutschland"
12069364068,N,leisure,outdoor_seating,"roccafé, Hauptstraße, Denzlingen, GVV Denzlingen-Vörstetten-Reute, Landkreis Emmendingen, Baden-Württemberg, 79211, Deutschland"
1209752072,N,place,town,"Kashipur, Udham Singh Nagar, Uttarakhand, 244713, India"
121793400,N,place,suburb,"Villingen, Villingen-Schwenningen, Verwaltungsgemeinschaft Villingen-Schwenningen, Schwarzwald-Baar-Kreis, Baden-Württemberg, Deutschland"
12214638207,N,amenity,restaurant,"Café Mares, 1, Domerschulstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
12337432759,N,amenity,car_sharing,"e+KUBATOR, 11, Palo-Alto-Platz, Heidelberg Innovation Park, Kirchheim, Heidelberg, Baden-Württemberg, 69124, Deutschland"
1242998122,N,place,city,"Panamá, Calidonia, Distrito de Panamá, Provincia de Panamá, 0843, Panamá"
1243035214,N,place,locality,"Lorra, Campos del Río, Río Mula, Región de Murcia, España"
13355228,N,place,town,"Esslingen am Neckar, Landkreis Esslingen, Baden-Württemberg, Deutschland"
1342435697,N,place,town,"Nava Raipur, Arang Tahsil, Raipur, Chhattisgarh, India"
13707878,N,place,city,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
1372477580,N,place,city,"Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi / Finland"
13766899,N,place,city,"Sydney, Council of the City of Sydney, New South Wales, 2000, Australia"
1398932052,N,natural,peak,"Knock of Crieff, Crieff, Perth and Kinross, Alba / Scotland, PH7 3LH, United Kingdom"
1418701024,N,place,city,"Belfast, Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, BT1 5GS, United Kingdom"
1420120430,N,place,hamlet,"Уньт, Хутаг-Өндөр ᠬᠤᠲᠤᠭ ᠥᠨᠳᠦᠷ, Булган ᠪᠤᠯᠠᠭᠠᠨ, Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ"
1422314245,N,place,city,"Cork, County Cork, Munster, Éire / Ireland"
1431901495,N,amenity,fast_food,"my döner, 14, Kurt-Schumacher-Straße, Buckenhofer Siedlung, Erlangen, Bayern, 91052, Deutschland"
1448497912,N,place,city,"Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien"
1449509957,N,tourism,museum,"Käserei Museum, 7, Rempartstraße, Endingen, Endingen am Kaiserstuhl, Verwaltungsverband Nördlicher Kaiserstuhl, Landkreis Emmendingen, Baden-Württemberg, 79346, Deutschland"
147670186,N,place,village,"Pliening, Landkreis Ebersberg, Bayern, 85652, Deutschland"
1498862011,N,place,village,"Little Dunkeld, Perth and Kinross, Alba / Scotland, PH8 0AB, United Kingdom"
150946345,N,place,city,"Redwood City, San Mateo County, California, United States"
150959789,N,place,city,"Sacramento, Sacramento County, California, United States"
150960561,N,place,city,"Napa, Napa County, California, United States"
150963377,N,place,city,"Sunnyvale, Santa Clara County, California, United States"
150981381,N,place,city,"Richmond, Contra Costa County, California, United States"
151335482,N,place,city,"Pasadena, Harris County, Texas, United States"
151422010,N,place,city,"Overland Park, Johnson County, Kansas, United States"
151493378,N,place,city,"Broomfield, Colorado, 80020, United States"
151534347,N,place,village,"Boston, New Boston, Bowie County, Texas, 75570, United States"
151612227,N,place,village,"Portsmouth, Cass Township, Shelby County, Iowa, United States"
151664104,N,place,city,"Cheyenne, Laramie County, Wyoming, United States"
153715785,N,place,town,"Destin, Okaloosa County, Florida, United States"
153843609,N,place,city,"Atlanta, Fulton County, Georgia, United States"
154336516,N,shop,supermarket,"United, Dacota Road, Decota, Kanawha County, West Virginia, 25060, United States"
154340776,N,place,town,"Stanford, Lincoln County, Kentucky, United States"
1576341874,N,place,house,"6, Erhardtstraße, Gärtnerplatz, Isarvorstadt, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80469, Deutschland"
158356856,N,place,hamlet,"United, Mount Pleasant Township, Westmoreland County, Pennsylvania, 15689, United States"
1585272345,N,place,suburb,"Büchenbach, Erlangen, Bayern, 91056, Deutschland"
158649053,N,place,hamlet,"Marburg, Manheim Township, York County, Pennsylvania, 17329, United States"
158809705,N,place,city,"Boston, Suffolk County, Massachusetts, 02102, United States"
158817652,N,place,town,"Princeton, Mercer County, New Jersey, United States"
1588340047,N,place,town,"Epsom, Epsom and Ewell, Surrey, England, KT19 8DX, United Kingdom"
158842914,N,place,quarter,"Long Island City, Queens, Queens County, City of New York, New York, 11109, United States"
1594844142,N,place,town,"Eckental, Landkreis Erlangen-Höchstadt, Bayern, 90542, Deutschland"
1599083298,N,place,town,"Schwäbisch Hall, Verwaltungsgemeinschaft Schwäbisch Hall, Landkreis Schwäbisch Hall, Baden-Württemberg, Deutschland"
1600652612,N,amenity,cafe,"Mahlwerkk, 11, Westend, Quartier Dreikönig, Emmendingen (Kernstadt), Emmendingen, VVG der Stadt Emmendingen, Landkreis Emmendingen, Baden-Württemberg, 79312, Deutschland"
1602111978,N,place,city,"Fürth, Bayern, 90762, Deutschland"
1616078487,N,place,city,"Santa Cruz, Santa Cruz County, California, United States"
16173235,N,place,city,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India"
16174445,N,place,city,"Pune, Pune City, Pune, Maharashtra, 411001, India"
1627986501,N,place,suburb,"Sieglitzhof, Erlangen, Bayern, 91054, Deutschland"
1635617294,N,place,hamlet,"Laucha, Löbau, Görlitz, Sachsen, 02708, Deutschland"
1635651356,N,place,city,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
1643504896,N,place,city,"عمان, ناحية عمان, لواء قصبة عمان, عمان, 11118, الأردن"
1647327748,N,place,suburb,"Henstedt, Henstedt-Ulzburg, Kreis Segeberg, Schleswig-Holstein, 24558, Deutschland"
1651888734,N,place,city,"Hannover, Region Hannover, Niedersachsen, Deutschland"
1667005776,N,place,city,"Halle (Saale), Sachsen-Anhalt, Deutschland"
1667671370,N,place,city,"الأقصر, 85951, مصر"
1668655163,N,place,city,"Gent, Oost-Vlaanderen, Vlaanderen, 9001, België / Belgique / Belgien"
1673805665,N,place,isolated_dwelling,"Erl, Stachusried, Markt Indersdorf, Landkreis Dachau, Bayern, 85229, Deutschland"
1674026139,N,place,city,"Stuttgart, Baden-Württemberg, Deutschland"
1685767121,N,place,city,"Jammu, Jammu district, Jammu and Kashmir, 180001, India"
1686293227,N,place,city,"Москва, Центральный федеральный округ, 103073, Россия"
1687216929,N,place,city,"Panaji, Tiswadi, North Goa, Goa, 403001, India"
1689366777,N,amenity,community_centre,"Philipp-Soldan-Forum, 3, Teichweg, Frankenberg, Frankenberg (Eder), Landkreis Waldeck-Frankenberg, Hessen, 35066, Deutschland"
1691675873,N,place,city,"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33000, France"
1692549353,N,place,town,"Reigate, Reigate and Banstead, Surrey, England, RH2 0AA, United Kingdom"
1695218178,N,place,city,"Potsdam, Brandenburg, Deutschland"
1699640925,N,place,city,"طرابلس, ليبيا"
17193023,N,place,city,"Erlangen, Bayern, 91052, Deutschland"
17328659,N,place,city,"Wien, 1010, Österreich"
173827298,N,place,village,"Binsfeld, Nörvenich, Kreis Düren, Nordrhein-Westfalen, 52399, Deutschland"
1738808199,N,place,city,"Los Angeles, Los Angeles County, California, 90012, United States"
1764285233,N,amenity,college,"Volkshochschule Fürth, 27, Hirschenstraße, Altstadt, Innenstadt, Süd, Fürth, Bayern, 90762, Deutschland"
17807753,N,place,city,"Paris, Île-de-France, France métropolitaine, France"
17858426,N,place,town,"Bournemouth, Bournemouth, Christchurch and Poole, England, United Kingdom"
17858754,N,place,town,"Poole, Bournemouth, Christchurch and Poole, England, United Kingdom"
17916174,N,place,city,"Canterbury, Kent, England, United Kingdom"
1801308037,N,place,city,"Austin, Travis County, Texas, United States"
180536743,N,place,village,"Niklashausen, Werbach, Verwaltungsgemeinschaft Tauberbischofsheim, Main-Tauber-Kreis, Baden-Württemberg, 97956, Deutschland"
1813843962,N,amenity,restaurant,"TTZ - Technologie & Tagungszentrum Marburg, 3, Software-Center, Südviertel, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
1824135555,N,place,city,"San Diego, San Diego County, California, 92101, United States"
1880441437,N,place,city,"Vijayawada, Vijayawada (Urban), NTR, Andhra Pradesh, 520001, India"
1882099475,N,place,city,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye"
1886594378,N,place,city,"لاہور, تحصیل لاہور شہر, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان"
18886011,N,place,city,"Ottawa, Eastern Ontario, Ontario, Canada"
19075410,N,place,village,"Kosbach, Erlangen, Bayern, 91056, Deutschland"
192288043,N,place,city,"اللاذقية, ناحية مركز اللاذقية, منطقة اللاذقية, محافظة اللاذقية, سوريا"
1934239893,N,place,city,"لاڑکانہ, تعلقہ لاڑکانہ, ضلع لاڑکانہ, لاڑکانہ ڈویژن, سندھ, 77150, پاکستان"
194115857,N,place,village,"Mundingen, Emmendingen, VVG der Stadt Emmendingen, Landkreis Emmendingen, Baden-Württemberg, 79312, Deutschland"
197603354,N,place,village,"Kings Hill, Tonbridge and Malling, Kent, England, ME19 4BX, United Kingdom"
198492691,N,place,town,"Ayungon, Negros Oriental, Negros Island Region, 6210, Philippines"
198511996,N,place,town,"Binangonan, Rizal, Calabarzon, 1940, Philippines"
198513073,N,place,town,"Tagoloan, Misamis Oriental, Northern Mindanao, 9001, Philippines"
2014216500,N,amenity,cafe,"Madia, 47, Lindenstraße, Nikolaigärten, Historische Innenstadt, Potsdam, Brandenburg, 14467, Deutschland"
2022807192,N,place,city,"Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India"
2028126814,N,place,hamlet,"Tullibardine, Auchterarder, Perth and Kinross, Alba / Scotland, PH3 1JU, United Kingdom"
20455353,N,place,city,"Milton Keynes, City of Milton Keynes, England, MK9 3DX, United Kingdom"
204648,N,place,city,"Wellington, Wellington City, Wellington, 6011, New Zealand / Aotearoa"
205400065,N,place,village,"Unterbiberg, Neubiberg, Landkreis München, Bayern, 81737, Deutschland"
20833613,N,place,city,"Dresden, Sachsen, Deutschland"
20833623,N,place,city,"Hamburg, Deutschland"
2087401278,N,office,charity,"AWO AnsprechBar, 46, Semmelstraße, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
20910685,N,place,city,"Newcastle upon Tyne, Tyne and Wear, North East, England, United Kingdom"
20981158,N,place,city,"Oslo, Norge"
21063119,N,place,city,"Inverness, Highland, Alba / Scotland, IV1 1AN, United Kingdom"
21068295,N,place,city,"Madrid, Comunidad de Madrid, 28013, España"
21262494,N,place,city,"Perth, Perth and Kinross, Alba / Scotland, PH1 5TZ, United Kingdom"
21262495,N,place,city,"Dundee, Dundee City, Alba / Scotland, DD1 3BZ, United Kingdom"
2141899759,N,place,town,"Baghpat, Uttar Pradesh, 250609, India"
2149000430,N,place,city,"Benin City, Oredo, Edo, 300241, Nigeria"
21521238,N,place,suburb,"Streatham, London Borough of Lambeth, Greater London, England, SW16 1QR, United Kingdom"
21579127,N,place,city,"Melbourne, City of Melbourne, Victoria, 3000, Australia"
21588608,N,place,city,"Sarnia, Lambton County, Southwestern Ontario, Ontario, Canada"
21664801,N,place,town,"Blackburn, Blackburn with Darwen, Lancashire, England, BB1 7DP, United Kingdom"
21674637,N,place,city,"Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
21687149,N,place,city,"Leipzig, Sachsen, Deutschland"
21749653,N,place,town,"Forchheim, Landkreis Forchheim, Bayern, 91301, Deutschland"
2188540033,N,place,village,"Okanguati, Kunene Region, Namibia"
2198046262,N,place,hamlet,"Dron, Perth and Kinross, Alba / Scotland, PH14 9SN, United Kingdom"
2247730880,N,place,city,"Aalborg, Aalborg Kommune, Region Nordjylland, 9000, Danmark"
2276754230,N,place,town,"Nhlangano, Inkhundla Mbangweni, Shiselweni, Eswatini"
2278426212,N,place,city,"Ernakulam, Kanayannur, Ernakulam, Kerala, 682035, India"
2285116859,N,place,village,"Nurn, Steinwiesen, Landkreis Kronach, Bayern, 96349, Deutschland"
2290247316,N,place,hamlet,"Airntully, Perth and Kinross, Alba / Scotland, PH1 4PH, United Kingdom"
2290378830,N,place,village,"Murthly, Perth and Kinross, Alba / Scotland, PH1 4DT, United Kingdom"
2311720702,N,place,village,"Rajas, Sardarshahar Tehsil, Churu, Rajasthan, India"
2314213771,N,tourism,gallery,"26, Barfüßerstraße, Oberstadt, Altstadt, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
2316854119,N,shop,convenience,"Weltladen, 7, Markt, Oberstadt, Altstadt, Marburg, Landkreis Marburg-Biedenkopf, Hessen, 35037, Deutschland"
235539324,N,place,town,"Villiersdorp, Theewaterskloof Local Municipality, Western Cape, 7170, South Africa"
2394409479,N,place,village,"Have, Afadzato South District, Volta Region, Ghana"
240028160,N,place,town,"Lüneburg, Niedersachsen, 21339, Deutschland"
240047795,N,place,town,"Aschaffenburg, Bayern, 63739, Deutschland"
240053395,N,place,town,"Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland"
240056905,N,place,city,"Osnabrück, Niedersachsen, Deutschland"
240061254,N,place,town,"Dessau, Dessau-Roßlau, Sachsen-Anhalt, 06844, Deutschland"
240062727,N,place,town,"Rapperswil, Rapperswil-Jona, Wahlkreis See-Gaster, St. Gallen, 8640, Schweiz/Suisse/Svizzera/Svizra"
240063145,N,place,city,"Remscheid, Nordrhein-Westfalen, Deutschland"
240071404,N,place,town,"Landau in der Pfalz, Rheinland-Pfalz, 76829, Deutschland"
240073484,N,place,county,"Erlangen-Höchstadt, Bayern, 91341, Deutschland"
240074718,N,place,city,"Darmstadt, Hessen, 64283, Deutschland"
240083793,N,place,village,"Malsfeld, Schwalm-Eder-Kreis, Hessen, Deutschland"
240090160,N,place,city,"Jena, Thüringen, Deutschland"
240093385,N,place,village,"Reuth bei Erbendorf, Reuth b.Erbendorf, Krummennaab (VGem), Landkreis Tirschenreuth, Bayern, 92717, Deutschland"
240098523,N,place,county,"Dessau-Roßlau, Sachsen-Anhalt, Deutschland"
240101756,N,place,town,"Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
240102654,N,place,city,"Koblenz, Rheinland-Pfalz, Deutschland"
240109189,N,place,city,"Berlin, Deutschland"
240111265,N,place,town,"Storkow (Mark), Oder-Spree, Brandenburg, 15859, Deutschland"
240111755,N,place,village,"Riegel am Kaiserstuhl, Riegel, Verwaltungsverband Nördlicher Kaiserstuhl, Landkreis Emmendingen, Baden-Württemberg, 79359, Deutschland"
240125507,N,place,town,"Stolberg, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
